Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
Law and Psychology Grows Up Goes Online and Replicates,2018,10.1111/jels.12180,Joris Frese,Social Sciences and Humanities,Psychology; Law,"Many Phenomena, Many studies","""Using three canonical law and psychology findings, we document the challenges and the feasibility of reproducing results across platforms."" (Abstract)",True,"""We evaluate the extent to which we are able to reproduce the original findings with contemporary subject pools (Amazon Mechanical Turk, other national online platforms, and in-person labs)."" (Abstract)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,True,"""we did ﬁnd, consistent with the literature previously reviewed, that MTurk participants were more attentive to study materials.68 By contrast, we found that participants from SSI were markedly inattentive, and the results from that platform were the most divergent from both in-person and other online samples. We note that it is understood that SSI has provided subjects for the inhouse subject pool at Qualtrics, the popular survey platform that also offers researchers a source of subjects. This result suggests that researchers might take care in using these fee-for-service subject recruitment platforms when subject motivation is particularly obscure. Given the attentiveness and reliability of our MTurk respondents (along with the similar Proliﬁc Academic sample), together with the now quite large body of literature from cognate ﬁelds on the replicability of treatment effects using MTurk, we would urge peer-review publications in our ﬁeld to put aside some of the latent skepticism that they may have held for that platform, at the very least in comparison to paid survey ﬁrms."" (p.344) [Comment: Compared attentiveness of respondents across replication samples.]",False,NA,False,NA,True,"""The gender split identiﬁed by PCI has balanced out in recent years.30 Respecting other demographic characteristics, results vary. One study, for example, concludes that workers are “wealthier, younger, more educated, less racially diverse, and more Demo- cratic than national samples” and less religiously afﬁliated.31 Others are more equivocal, concluding that apart from workers’ relative youth and liberalism, they closely approxi- mate a nationally representative sample."" (p.328) [Comment: Discussed gender- and racial composition of different replication samples.]"
Law and Psychology Grows Up Goes Online and Replicates,2018,10.1111/jels.12180,Samuel Pawel,Social Sciences and Humanities,law;psychology,"Many Phenomena, One Study [Comment: this could maybe also be coded as ""many phenomena, many studies"" because there were three different types of subjects (MTurk, SSI, lab), but since the authors described it as 3 replication studies and not 9, I decided to code as ""many phenomena, one study""]","""we would like to show, through replication of canonical legal experiments on a variety of survey platforms, the potential and the pitfalls of replication in law and psychology.""",False,NA,Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size [Comment: relatively informal comparison of effect estimates](3) Subjective assessment,False,NA,True,"10.1177/0956797614567341 [Comment: this was for the sample size determination, rather than the analysis]",False,NA,True,"""MTurk subjects are more diverse than college student samples, across various demographic variables."""
High replicability of newly discovered social-behavioural findings is achievable,2023,10.1038/s41562-023-01749-9,Joris Frese,Social Sciences and Humanities,Interdisciplinary,"Many Phenomena, Many studies","""In this Article, we report the results of a prospective replication study [...] examining whether low replicability and declining effects are inevitable when using proposed rigour-enhancing practices."" (pp. 1-2)",True,"""This paper reports an investigation by four coordinated laboratories of the prospective replicability of 16 novel experimental findings using rigour-enhancing practices: confirmatory tests, large sample sizes, preregistration and methodological transparency."" (Abstract)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""Due to the limited number of participating labs, lab-level variation in the replicability of findings was incalculable; to the extent that labs vary in how they select potential replication targets, the replication rates observed in the present study may not generalize to a broader population of research groups"" (p.6)",True,"""The sample providers were instructed to provide American adults drawn in a stratified way with unequal probabilities of selection from the panels so that the people who completed each survey would resemble the nation’s adult population (according to the most recently available Current Population Survey, conducted by the US Census Bureau) in terms of gender, age, education, ethnicity (Hispanic versus not), race (allowing each respondent to select more than one race), region and income."" (p.7) [Comment: Discussed racial, gender, and income-based distribution of replication samples.]"
High replicability of newly discovered social-behavioural findings is achievable,2023,10.1038/s41562-023-01749-9,Rachel Heyard,Social Sciences and Humanities,"Interdisciplinary;Social-behavioural research [Comment: psychology, marketing, advertising, political science, communication, and judgement and decision-making]","Many Phenomena, Many studies","an investigation by four coordinated laboratories of the prospective replicability of 16 novel experimental findings using rigour-enhancing practices: confirmatory tests, large sample sizes, preregistration and methodological transparency.","False [Comment: No formal definition, but referring to replicability]",NA,Different data - same analysis,"(1) Agreement in statistical significance [Comment: One way of assessing replicability is to examine whether each replication rejects the null hypothesis at P < 0.05 in the expected direction](2) Agreement in effect size [Comment: An alternative index of replicability examines the consistency of ESs generated by the initial self-confirmatory test and its subsequent replications (within-study heterogeneity; τ̂within). On the basis of a multilevel meta-analysis, little variation in ESs was observed beyond what would be expected by sampling variation alone.]",False,NA,False,NA,False,NA,True,"All samples for the self-confirmatory tests and replications were drawn from online panels of American adults. These 16 findings do not characterize a representative sample of any methodology or discipline, although they do represent common methodologies, samples and research questions from the social-behavioural sciences;The sample providers were instructed to provide American adults drawn in a stratified way with unequal probabilities of selection from the panels so that the people who completed each survey would resemble the nation’s adult population (according to the most recently available Current Population Survey, conducted by the US Census Bureau) in terms of gender, age, education, ethnicity (Hispanic versus not), race (allowing each respondent to select more than one race), region and income."
Genotypic variability enhances the reproducibility of an ecological study,2018,10.1038/s41559-017-0434-x,Joris Frese,"STEM, e.g. Engineering, Mathematics, Physics",Biology; Ecology,"One Phenomenon, Many Studies","""A novel but controversial hypothesis postulates that stringent levels of environmental and biotic standardization in experimental studies reduce reproducibility by amplifying the impacts of laboratory-specific environmental factors not accounted for in study designs. A corollary to this hypothesis is that a deliberate introduction of controlled systematic  variability (CSV) in experimental designs may lead to increased reproducibility"" (Abstract)",True,"""To test the hypothesis that introducing CSV enhances reproducibility in an ecological context, we had 14 European laboratories  simultaneously run a simple microcosm experiment using grass  (Brachypodium distachyon L.) monocultures and grass and legume  (Medicago truncatula Gaertn.) mixtures. As part of the reproducibility experiment, the 14 laboratories independently tested the  hypothesis that the presence of the legume species M. truncatula in  mixtures would lead to higher total plant productivity in the microcosms and enhanced growth of the non-legume B. distachyon via  rhizobia-mediated nitrogen fertilization and/or nitrogen-sparing  effects"" (p.2)",Different data - same analysis,"(1) Agreement in statistical significance [Comment: ""Statistically significant differences among the 14 laboratories 
were considered an indication of irreproducibility."" (p.2)](2) Meta-analysis of original and replication study/studies",False,NA,False,NA,True,""" Arguably, our use of statistical significance tests of effect sizes  to determine reproducibility might be viewed as overly restrictive  and better suited to assessing the reproducibility of parameter estimates rather than the generality of the hypothesis under test27. We  used this approach because no generally accepted alternative framework is available to assess how close the multivariate results from  multiple laboratories need to be to conclude that they reproduced  the same finding"" (p.7)",False,NA
Genotypic variability enhances the reproducibility of an ecological study,2018,10.1038/s41559-017-0434-x,Rachel Heyard,Life Sciences,Ecology,"One Phenomenon, Many Studies",To test the hypothesis that introducing CSV enhances reproducibility in an ecological context,True,Reproducibility—the ability to duplicate a study and its findings.,Different data - same analysis [Comment: While they also introduced controlled systematic variability],"Agreement in statistical significance [Comment: these results suggest that the effect size or direction of the net legume effect was significantly different (that is, not reproducible) in some laboratories and that the introduced CSV treatment affected reproducibility.]",True,"To answer the question of how many laboratories produced results that were statistically indistinguishable from one another (that is, reproduced the same finding), we used Tukey’s post-hoc honest significant difference test for the laboratory effect.",False,NA,True,"Arguably, our use of statistical significance tests of effect sizes to determine reproducibility might be viewed as overly restrictive and better suited to assessing the reproducibility of parameter esti- mates rather than the generality of the hypothesis under test27. We used this approach because no generally accepted alternative framework is available to assess how close the multivariate results from multiple laboratories need to be to conclude that they reproduced the same finding.",True,"In a sense, they introduce controlled systematic variability and investigated its impact on reproducibility [Comment: referring to 10.1080/00031305.2016.1154108]"
Data sharing and reanalysis of randomized controlled trials in leading biomedical journals with a full data sharing policy: survey of studies published in The BMJ and PLOS Medicine,2018,10.1136/bmj.k400,Joris Frese,Life Sciences,Biology; Medicine,"Many Phenomena, Many studies","""To explore the effectiveness of data sharing by  randomized controlled trials (RCTs) in journals with  a full data sharing policy and to describe potential  difficulties encountered in the process of performing  reanalyses of the primary outcomes."" (Abstract)",True,"""The primary outcome was data availability, defined  as the eventual receipt of complete data with clear  labelling. Primary outcomes were reanalyzed to assess  to what extent studies were reproduced."" (Abstract)",Same data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size(3) Subjective assessment,False,NA,False,NA,False,NA,False,NA
Data sharing and reanalysis of randomized controlled trials in leading biomedical journals with a full data sharing policy: survey of studies published in The BMJ and PLOS Medicine,2018,10.1136/bmj.k400,Rachel Heyard,Life Sciences,Medicine;Clinical trials,"Many Phenomena, One Study",To explore the effectiveness of data sharing by randomized controlled trials (RCTs) in journals with a full data sharing policy and to describe potential difficulties encountered in the process of performing reanalyses of the primary outcomes.,"False [Comment: No formal definition, but referring to reproducibility]",NA,Same data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size(3) Subjective assessment [Comment: clinical judgment],False,NA,False,NA,False,NA,False,NA
Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,2023,10.1098/rsos.231240,Joris Frese,Social Sciences and Humanities;Life Sciences,Psychology,"Many Phenomena, Many studies","""our contribution is a new dataset of 176 replications of experimental studies from the social sciences, primarily psychology [...] We use this dataset to investigate the rate of replicability for such projects as well as the correlates of replication success."" (p.2)",True,"""We introduce a new dataset of 176 replications from students in a graduate-level methods course."" (Abstract)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size(3) Subjective assessment,False,NA,True,10.1111/rssa.12572,True,"""We do not interpret our non-replications as indicating the original results were false positives: presumably some were and some were not. There are many possible reasons for the non-replications in this sample. In some cases, the problem may be with the replication, such as too few participants, many exclusions for failed attention checks, or participants speeding through the study. When these issues are diagnosed, they can suggest possible ways to ‘rescue’ the replication by increasing the sample or changing the interface, without altering the underlying experiment; thus, while the replication did not succeed, after some troubleshooting, students may still be able to extend the work in the future. In other cases, there were a priori reasons to distrust the original study, such as exclusion criteria that seemed post hoc or high-order interaction terms with a small sample. That said, not all scientists recognize the same factors as potential indications of low power or questionable research practices; students conducting these replications generally expected them to succeed. In many—perhaps most—non-replications in our sample, it was unclear why the results failed to replicate. Our results are limited by the sample of studies we included, which are limited in number and may not be representative of the studies of interest to psychologists as a whole. Further, our predictor variables were not manipulated, so they cannot be interpreted as causing (non-)replication, but only as correlational markers. Some of the correlates are most easily interpreted as being about the original study, and others reflect the closeness of the replication to the original. For instance, while within-participants designs are more likely to replicate than between-participants designs, this predictor could also be related to the types of experiments that tend to be run in each design. Additionally, as [24] notes, within-participants designs can lead to practice effects, carry-over of treatments, and critically, sensitization effects, where participants reason about the contrast between conditions and respond differently due to that reasoning. Sensitization effects are a threat to internal validity, and could be replicable even in the absence of the effect itself being replicable. Given the strong relationship of within-participants designs to replicability, slightly more scepticism and critical reading of between-participants designs may be warranted, but this correlation, by itself, does not mean scientists should prefer within-participants designs."" (p.9)",False,NA
Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,2023,10.1098/rsos.231240,Rachel Heyard,Social Sciences and Humanities,Psychology;Experimental psychology,"Many Phenomena, One Study",to investigate the rate of replicability for such projects as well as the correlates of replication success,True,"Replicability - section on ""What are we estimating when we measure replicability?""",Different data - same analysis,"(1) Subjective assessment [Comment: a subjective replication score (coded by two independent raters—one typically at the time of project completion—with discrepancies resolved by discussion)](2) Agreement in effect size [Comment: prediction interval, a binary measure of whether the replication statistic fell within the prediction interval of the original statistic]",True,"p-original, the p-value on the null hypothesis that the original and replication statistics are from the same distribution",True,10.1111/rssa.12572 [Comment: prediction interval and p-original],True,"Unlike statistical measures, subjective replication success accommodates studies with multiple important outcome measures that together define the pattern of interest. Further, this measure was applicable across the diverse range of statistical measures and reporting practices present in the sample. [Comment: statistical measures]",False,NA
