Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Number of measures,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
Law and Psychology Grows Up Goes Online and Replicates,2018,10.1111/jels.12180,Joris Frese; Samuel Pawel,Social Sciences and Humanities,Psychology; Law,"Many Phenomena, One Study","""Using three canonical law and psychology findings, we document the challenges and the feasibility of reproducing results across platforms."" (Abstract); ""we would like to show, through replication of canonical legal experiments on a variety of survey platforms, the potential and the pitfalls of replication in law and psychology.""",FALSE,NA,Different data - same analysis,(1) Agreement in statistical significance (2) Agreement in effect size [Comment: relatively informal comparison of effect estimates]; [Comment: Compared attentiveness of respondents across replication samples] (3) Subjective assessment,FALSE,NA,3,TRUE,"10.1177/0956797614567341 [Comment: this was for the sample size determination, rather than the analysis]",FALSE,NA,TRUE,"""The gender split identiﬁed by PCI has balanced out in recent years.30 Respecting other demographic characteristics, results vary. One study, for example, concludes that workers are “wealthier, younger, more educated, less racially diverse, and more Demo- cratic than national samples” and less religiously afﬁliated.31 Others are more equivocal, concluding that apart from workers’ relative youth and liberalism, they closely approxi- mate a nationally representative sample."" (p.328) [Comment: Discussed gender- and racial composition of different replication samples.]; ""MTurk subjects are more diverse than college student samples, across various demographic variables."""
High replicability of newly discovered social-behavioural findings is achievable,2023,10.1038/s41562-023-01749-9,Joris Frese; Rachel Heyard,Social Sciences and Humanities,"Interdisciplinary [Comment: psychology, marketing, advertising, political science, communication, and judgement and decision-making]","Many Phenomena, Many studies","""In this Article, we report the results of a prospective replication study [...] examining whether low replicability and declining effects are inevitable when using proposed rigour-enhancing practices."" (pp. 1-2); ""an investigation by four coordinated laboratories of the prospective replicability of 16 novel experimental findings using rigour-enhancing practices: confirmatory tests, large sample sizes, preregistration and methodological transparency.""",FALSE,NA,Different data - same analysis,"(1) Agreement in statistical significance [Comment: One way of assessing replicability is to examine whether each replication rejects the null hypothesis at P < 0.05 in the expected direction] (2) Agreement in effect size [Comment: An alternative index of replicability examines the consistency of ESs generated by the initial self-confirmatory test and its subsequent replications (within-study heterogeneity; τ̂ within). On the basis of a multilevel meta-analysis, little variation in ESs was observed beyond what would be expected by sampling variation alone.]",FALSE,NA,2,FALSE,NA,TRUE,"""Due to the limited number of participating labs, lab-level variation in the replicability of findings was incalculable; to the extent that labs vary in how they select potential replication targets, the replication rates observed in the present study may not generalize to a broader population of research groups"" (p.6)",TRUE,"""The sample providers were instructed to provide American adults drawn in a stratified way with unequal probabilities of selection from the panels so that the people who completed each survey would resemble the nation’s adult population (according to the most recently available Current Population Survey, conducted by the US Census Bureau) in terms of gender, age, education, ethnicity (Hispanic versus not), race (allowing each respondent to select more than one race), region and income."" (p.7) [Comment: Discussed racial, gender, and income-based distribution of replication samples.]"
Genotypic variability enhances the reproducibility of an ecological study,2018,10.1038/s41559-017-0434-x,Joris Frese; Rachel Heyard,Life Sciences,Biology; Ecology,"One Phenomenon, Many Studies","""A novel but controversial hypothesis postulates that stringent levels of environmental and biotic standardization in experimental studies reduce reproducibility by amplifying the impacts of laboratory-specific environmental factors not accounted for in study designs. A corollary to this hypothesis is that a deliberate introduction of controlled systematic variability (CSV) in experimental designs may lead to increased reproducibility"" (Abstract); ""To test the hypothesis that introducing CSV enhances reproducibility in an ecological context""",TRUE,"""Reproducibility—the ability to duplicate a study and its findings.""",Different data - same analysis,"(1) Agreement in statistical significance [Comment: ""Statistically significant differences among the 14 laboratories 
were considered an indication of irreproducibility."" (p.2)] (2) Meta-analysis of original and replication study/studies",TRUE,"To answer the question of how many laboratories produced results that were statistically indistinguishable from one another (that is, reproduced the same finding), we used Tukey’s post-hoc honest significant difference test for the laboratory effect.",2.5,FALSE,NA,TRUE,"""Arguably, our use of statistical significance tests of effect sizes to determine reproducibility might be viewed as overly restrictive and better suited to assessing the reproducibility of parameter esti- mates rather than the generality of the hypothesis under test27. We used this approach because no generally accepted alternative framework is available to assess how close the multivariate results from multiple laboratories need to be to conclude that they reproduced the same finding."" (p.7)",TRUE,In a sense: they introduce controlled systematic variability and investigated its impact on reproducibility [Comment: referring to 10.1080/00031305.2016.1154108]
Data sharing and reanalysis of randomized controlled trials in leading biomedical journals with a full data sharing policy: survey of studies published in The BMJ and PLOS Medicine,2018,10.1136/bmj.k400,Joris Frese; Rachel Heyard,Life Sciences,Clinical trials; Medicine,"Many Phenomena, One Study","""To explore the effectiveness of data sharing by randomized controlled trials (RCTs) in journals with a full data sharing policy and to describe potential difficulties encountered in the process of performing reanalyses of the primary outcomes."" (Abstract)",FALSE,NA,Same data - same analysis,(1) Agreement in statistical significance (2) Agreement in effect size (3) Subjective assessment [Comment: clinical judgment],FALSE,NA,3,FALSE,NA,FALSE,NA,FALSE,NA
Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,2023,10.1098/rsos.231240,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Psychology;Experimental psychology,"Many Phenomena, One Study","""our contribution is a new dataset of 176 replications of experimental studies from the social sciences, primarily psychology [...] We use this dataset to investigate the rate of replicability for such projects as well as the correlates of replication success."" (p.2)",TRUE,"Replicability - section on ""What are we estimating when we measure replicability?""",Different data - same analysis,"(1) Agreement in statistical significance [p-original, the p-value on the null hypothesis that the original and replication statistics are from the same distribution] (2) Agreement in effect size [Comment: prediction interval, a binary measure of whether the replication statistic fell within the prediction interval of the original statistic] (3) Subjective assessment [Comment: a subjective replication score (coded by two independent raters—one typically at the time of project completion—with discrepancies resolved by discussion)] ",FALSE,NA,3,TRUE,10.1111/rssa.12572 [Comment: prediction interval and p-original],TRUE,"""Unlike statistical measures, subjective replication success accommodates studies with multiple important outcome measures that together define the pattern of interest. Further, this measure was applicable across the diverse range of statistical measures and reporting practices present in the sample."" [Comment: statistical measures]",FALSE,NA
A many-analysts approach to the relation between religiosity and well-being,2023,10.1080/2153599X.2022.2070255,Helena Hartmann; Joris Frese,Social Sciences and Humanities,Psychology; Religion; Wellbeing,"One Phenomenon, Many Studies","""assess the robustness of the relation between relgiosity and wellbeing using a multi-analyst approach""",TRUE,"""we believe that the more consistent the results from diﬀerent analysis teams are, the more conﬁdent we can be in the conclusions we draw from the results.""",Same data - different analysis,"(1) Agreement in statistical significance (2) Agreement in effect size [""Note that our request for beta coeﬃcients as eﬀect size metrics may have aﬀected the teams’ choice of statistical model and encouraged them to use regression models that generate beta coeﬃcients."" (p.247/248)]",FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"""Although most teams indicated that eﬀort was (very) high, the majority also reported that frustration was (very) low and that they spent as much time as anticipated (see Figure 10). That is, in stage 1, 55% of the teams reported (very) high eﬀort, 17% were neutral, and 28% reported (very) low eﬀort. For stage 2, 48% of the teams reported (very) high eﬀort, 18% were neutral, and 34% reported (very) low eﬀort. In stage 1, 17% of the teams reported (very) high frustration, 23% were neutral, and 60% reported (very) low frustration. In stage 2, 18% of the teams reported (very) high frustration, 17% were neutral, and 65% reported (very) low frustration. The median time spent on the analyzes was 8 hours for both stages, although the range was quite wide: 1 to 80 hours for stage 1 and 30 minutes to 140 hours for stage 2. Most teams anticipated as much time as they spent: 51% for stage 1 and 52% for stage 2. In stage 1, 36% spent (much) more time than anticipated and 13% spent (much) less time. In stage 2, 33% spent (much) more time than anticipated and 15% spent (much) less time."" (p.255) [Comment: Maybe not EDI, but they had a section on the difficulties, frustrations, and time usage of the research teams regarding their replication tasks.]"
Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability,2020,10.1177/2515245920958687,Louise Townsin; Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, Many studies","""This design is particularly well suited for testing the strong hypothesis that many, if not most, failures to replicate are due to design errors that could have been caught by a domain expert (Gilbert et al., 2016). If this hypothesis is correct, then the new, peer-reviewed protocols would be expected to improve replicability and increase effect sizes to be closer to those of the original studies. This would not necessarily mean that all failures to replicate are due to poor design. After all, our sample of studies was chosen because they are among the most likely published replications to have faulty designs. However, such an outcome would suggest that published replicability rates are overly pessimistic.""; ""The purpose of this investigation was to test whether protocols resulting from formal peer review would produce stronger evidence for replicability than protocols that had not received formal peer review""",TRUE,"""A replication study is an attempt to reproduce a previously observed finding with no a priori expectation for a different outcome (see Nosek & Errington, 2017, 2020; Zwaan, Etz, Lucas, & Donnellan, 2018).""","Different data - different analysis [Comment: We administered the RP:P and revised protocols in multiple laboratories (median number of laboratories per original study = 6.5, range = 3–9; median total sample = 1,279.5, range = 276–3,512) for high-powered tests of each original finding with both protocols.]; Different data - same analysis [Comment: Same analysis, but for small deviations]","(1) Agreement in effect size [Comment: Overall, following the preregistered analysis plan, we found that the revised protocols produced effect sizes similar to those of the RP:P protocols (Δr = .002 or .014, depending on analytic approach). The median effect size for the revised protocols (r = .05) was similar to that of the RP:P protocols (r = .04) and the original RP:P replications (r = .11), and smaller than that of the original studies (r = .37). Analysis of the cumulative evidence across the original studies and the corresponding three replication attempts provided very precise estimates of the 10 tested effects and indicated that their effect sizes (median r = .07, range = .00–.15) were 78% smaller, on average, than the original effect sizes (median r = .37, range = .19–.50).] (2) Meta-analysis of original and replication study/studies [Comment: ""We conducted a multilevel random- effects meta-analysis of the 101 effect sizes, with a random intercept of data-collection site (varying from 3 to 9 depending on study) nested within study (10 studies).""; ""we conducted a random-effects meta-analysis on the estimates of the effect of protocol within each replication study.""]",TRUE,"""In exploratory analyses, we considered several other measures of replicability that directly assessed (a) statistical consistency between the replications and the original studies and (b) the strength of evidence provided by the replications for the scientific effects under investigation (Mathur & VanderWeele, 2020). These analyses also accounted for potential heterogeneity in the replications and for the sample sizes in both the replications and the original studies. Accounting for these sources of variability avoids potentially misleading conclusions regarding replication success that can arise from metrics that do not account for these sources of variability, such as agreement in statistical significance.""",2,TRUE,10.1111/rssa.12572 [Comment: statistical consistency],FALSE,NA,TRUE,"""the studies were not selected to be representative of any particular population. The extent to which our findings will generalize is unknown. It is possible that our findings are unique to this sample of studies, or to psychology studies that are conducted in good faith but fail to be endorsed by original authors, as in the RP:P (Open Science Collaboration, 2015). A more expansive possibility is that the findings will be generalizable to occasions in which original authors or other experts dismiss a failed replication for having design flaws that are then addressed and tested again."""
Variability in the analysis of a single neuroimaging dataset by many teams,2020,10.1038/s41586-020-2314-9,Helena Hartmann; Rachel Heyard,Life Sciences,Neuroscience; Neuroimaging,"Many Phenomena, Many studies","""assess the effect of this flexibility on the results of functional magnetic resonance imaging""; ""to assess the real-world variability of results across independent teams analysing the same dataset.""",FALSE,NA,Same data - different analysis,(1) Agreement in statistical significance [Comment: Rates of reported significant findings across hypotheses] (2) Subjective assessment [Comment: confirmation of hypothesis or not] [Comment: Analysis of the pipeline used by the teams],TRUE,Prediction markets,3,TRUE,10.1073/pnas.1516179112 [Comment: Prediction markets],TRUE,"""note that because some analyses were performed on the final market prices (that is, the predictions of the markets), for which there is one value per hypothesis per market, the number of observations for each of the markets was low (n = 9), leading to limited statistical power. Therefore, the results should be interpreted with caution."" [Comment: prediction markets]",FALSE,NA
The influence of hidden researcher decisions in applied microeconomics,2021,10.1111/ecin.12992,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Economics; Applied Microeconomics,"Many Phenomena, Many studies","""To measure the magnitude of variation due to researcher degrees of freedom in the context of applied microeconomics studies that attempt to isolate a causal effect""",FALSE,NA,Same data - different analysis,(1) Agreement in statistical significance (2) Agreement in effect size,TRUE,They additionally coded difference analysis step/decision in a binary manner; Comparison of sampling variation,3.5,FALSE,NA,FALSE,NA,TRUE,"""Among successful replicators, the mean and median year in which they received their PhD was 2011 and 2014, respectively. As of October 2020, the mean and median Google Scholar “cited by” count among successful replicators were 366 and 128, respectively, with a minimum of 38 and a maximum of 1291, omitting one replicator who did not have a Google Scholar profile."" (p.950) [Comment: Looked at seniority and professional success of replicators]"
Investigating the replicability of preclinical cancer biology,2021,10.7554/eLife.71601,Joris Frese; Rachel Heyard,Life Sciences,Biology; Preclinical cancer biology,"Many Phenomena, One Study",To investigate the replicability of preclinical cancer biology,FALSE,NA,Different data - same analysis,"(1) Agreement in effect size [Comment: Same direction: We evaluated whether the sign of the replication estimate agreed with that of the original effect] (2) Agreement in statistical significance [Comment: Significance agreement: We assessed whether the replication had a p-value less than 0.05 and an estimate in the same direction as the original.] (3) Agreement in effect size [Comment: We assessed whether the original and replication estimates were inside the 95% confidence intervals of the other.] (4) Agreement in effect size [Comment: We assessed whether the replication estimate was inside the 95% prediction interval of the original, and formally assessed the degree of statistical inconsistency between the replication and the original using the metric porig, which can be viewed as a p-value for the hypothesis that the original and the replication had the same population effect size.] (5) Agreement in effect size [Comment: We estimated the difference in estimates between the replication and the original after transforming all effect sizes to a comparable scale.] (6) Meta-analysis of original and replication study/studies [Comment: we calculated a pooled estimate from combining the replication and original via fixed-effects meta-analysis]",FALSE,NA,7,TRUE,10.1111/rssa.12572 [Comment: porig],TRUE,"(1) This rudimentary metric does not account for effect sizes nor statistical precision, but was useful because we could compute it for even the non-quantitative pairs such as when original experiments reported only representative images. [Comment: Same direction] (2) We chose a fixed-effect model rather than a random-effects model primarily for consistency with our assumption throughout all main analyses that there was no within-pair heterogeneity. [Comment: Meta-analysis]",FALSE,NA
